id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1434007590145564672	1434007590145564672	2021-09-03 23:17:06 Hora est. Pacífico, Sudamérica	2021-09-03	23:17:06	-0500	43395943	ficogutierrez	Federico Gutiérrez		Cada firma es un voto de confianza.  Terminando el recorrido por las calles de Quibdó, Chocó.  Mañana desde temprano de nuevo a la calle y al contacto directo con la gente.  Construimos el programa de Gobierno desde las regiones de nuestra Colombia 🇨🇴.  https://t.co/XcuLNWlGPS	es	[]	[]	['https://pbs.twimg.com/media/E-aeR95X0AIgBH_.jpg', 'https://pbs.twimg.com/media/E-aeR9-WQAASZ4_.jpg', 'https://pbs.twimg.com/media/E-aeSAUWQAEhEK-.jpg', 'https://pbs.twimg.com/media/E-aeR_bWYAMXpr9.jpg']	32	100	791	[]	[]	https://twitter.com/FicoGutierrez/status/1434007590145564672	False		1	https://pbs.twimg.com/media/E-aeR95X0AIgBH_.jpg		6.217,-75.567,100km					[]				
1433986004722069505	1433965737652146194	2021-09-03 21:51:20 Hora est. Pacífico, Sudamérica	2021-09-03	21:51:20	-0500	1341006114054414340	andres03505895	Andres		@FicoGutierrez Insisto Fico, que bueno sería visitaras las capitales sino y vayas a lo profundo de los pueblos marginados ahí es donde radica el problema. Pienso que sin pasar por los pueblos excluidos del progreso, te olvidas de la base de los problemas de Colombia. Mi voto es por ti. Con toda	es	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/Andres03505895/status/1433986004722069505	False		0			6.217,-75.567,100km					[{'screen_name': 'FicoGutierrez', 'name': 'Federico Gutiérrez', 'id': '43395943'}]				
1433792352397627397	1433792352397627397	2021-09-03 09:01:50 Hora est. Pacífico, Sudamérica	2021-09-03	09:01:50	-0500	224310417	c88caesar	César Betancourt		Mi voto es por @FicoGutierrez #FedericoPresidente	es	[{'screen_name': 'ficogutierrez', 'name': 'federico gutiérrez', 'id': '43395943'}]	[]	[]	1	0	0	['federicopresidente']	[]	https://twitter.com/C88Caesar/status/1433792352397627397	False	https://twitter.com/Horadelaverdad/status/1433786339229683725	0			6.217,-75.567,100km					[]				
1433252126671638528	1433218158027018245	2021-09-01 21:15:10 Hora est. Pacífico, Sudamérica	2021-09-01	21:15:10	-0500	1400665842107523073	maurici69756634	Mauricio Vasquez		@R_republi @CoronelHMejia @OIZuluaga @FicoGutierrez @petrogustavo Por ninguno mi voto es por María Fernanda Cabal, porque no la incluyen en sus sondeos	es	[]	[]	[]	0	2	16	[]	[]	https://twitter.com/Maurici69756634/status/1433252126671638528	False		0			6.217,-75.567,100km					[{'screen_name': 'R_republi', 'name': 'República 🇨🇴', 'id': '1276517172269940736'}, {'screen_name': 'CoronelHMejia', 'name': 'Coronel Hernán Mejía', 'id': '1042463396128583681'}, {'screen_name': 'OIZuluaga', 'name': 'Óscar Iván Zuluaga', 'id': '262814659'}, {'screen_name': 'FicoGutierrez', 'name': 'Federico Gutiérrez', 'id': '43395943'}, {'screen_name': 'petrogustavo', 'name': 'Gustavo Petro', 'id': '49849732'}]				
1432882178308939776	1432737729494888450	2021-08-31 20:45:07 Hora est. Pacífico, Sudamérica	2021-08-31	20:45:07	-0500	2182362276	rapelaezm	Alejandro Pelaez		@FicoGutierrez Mi voto es por usted!!!!!!!!	es	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/rapelaezm/status/1432882178308939776	False		0			6.217,-75.567,100km					[{'screen_name': 'FicoGutierrez', 'name': 'Federico Gutiérrez', 'id': '43395943'}]				
1432868524171665410	1432863061581443075	2021-08-31 19:50:52 Hora est. Pacífico, Sudamérica	2021-08-31	19:50:52	-0500	1212073704865140736	francis6716	Francisco H		@rodrigoaguaclar @FicoGutierrez Es un tibio, voto por el SI, adora la JEP y ama los acuerdos con Narcos. De esos ya tuvimos uno.	es	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Francis6716/status/1432868524171665410	False		0			6.217,-75.567,100km					[{'screen_name': 'rodrigoaguaclar', 'name': 'El profe antisocialismo.', 'id': '564155598'}, {'screen_name': 'FicoGutierrez', 'name': 'Federico Gutiérrez', 'id': '43395943'}]				
1432753194724122628	1432753194724122628	2021-08-31 12:12:35 Hora est. Pacífico, Sudamérica	2021-08-31	12:12:35	-0500	288540505	fernandocorrea6	FERNANDO CORREA		@FicoGutierrez hasta el día de hoy, mi voto es por usted, no me decepcióne por favor.	es	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/FERNANDOCORREA6/status/1432753194724122628	False		0			6.217,-75.567,100km					[]				
1432728608737480707	1432728608737480707	2021-08-31 10:34:53 Hora est. Pacífico, Sudamérica	2021-08-31	10:34:53	-0500	112296141	oscarsito81	Oscar Javier Molina Mercado		"Mi apoyo y voto para las próximas presidenciales en 🇨🇴 es para @FicoGutierrez dile ""NO"" a la #IzquierdaComunista de @petrogustavo por una #Colombia libre sin régimen dictatorial ✌️🙏"	es	[{'screen_name': 'ficogutierrez', 'name': 'federico gutiérrez', 'id': '43395943'}, {'screen_name': 'petrogustavo', 'name': 'gustavo petro', 'id': '49849732'}]	[]	[]	0	0	2	['izquierdacomunista', 'colombia']	[]	https://twitter.com/oscarsito81/status/1432728608737480707	False		0			6.217,-75.567,100km					[]				
